List ,Headword ,Related forms,Total frequency
1k,a,"a (2186984), an (338269)",2525253
1k,able,"able (29930), abilities (1334), ability (9113), abler (5), ablest (44), ably (100), inability (1088), unable (6146)",47760
1k,about,about (192168),192168
1k,above,above (25370),25370
1k,absolute,"absolute (3441), absolutely (5673), absolutes (51), absolutism (60), absolutist (50), absolutists (9)",9284
1k,accept,"accept (9625), acceptability (282), acceptable (3624), acceptably (33), acceptance (2661), acceptances (86), accepted (8785), accepting (1738), acceptor (43), acceptors (8), accepts (804), unacceptability (26), unacceptable (1222), unacceptably (89)",29026
1k,across,across (24122),24122
1k,act,"act (27545), acted (2288), acting (4941), action (22125), actionable (88), actioned (27), actioning (4), actions (4810), actor (2067), actors (1605), actress (1080), actresses (187), acts (4628), inaction (121), unactioned (1)",71517
1k,actual,"actual (6790), actualisation (26), actualisations (0), actualise (7), actualised (6), actualises (0), actualising (2), actualities (14), actuality (157), actualization (82), actualizations (0), actualize (9), actualized (32), actualizes (2), actualizing (12), actually (25457)",32596
1k,add,"add (8393), added (15159), adding (3160), addition (9934), additional (7333), additionality (44), additionally (571), additions (742), additive (160), additives (250), adds (2199)",47945
1k,address,"address (6939), addressed (2794), addressee (183), addressees (30), addresses (1321), addressing (1049)",12316
1k,admit,"admit (3626), admits (1250), admittance (58), admittances (1), admitted (5593), admittedly (709), admitting (609), readmit (7), readmits (0), readmittance (3), readmitted (55), readmitting (2)",11913
1k,advertise,"advertise (503), ad (3147), ads (564), advert (445), advertised (781), advertisement (1166), advertisements (1001), advertiser (186), advertisers (310), advertises (44), advertising (4420), advertize (0), advertized (3), advertizement (0), advertizements (0), advertizer (0), advertizers (0), advertizes (0), advertizing (4), adverts (396)",12970
1k,afford,"afford (4403), affordability (27), affordable (396), afforded (575), affording (85), affords (170), unaffordable (13)",5669
1k,afraid,"afraid (5552), unafraid (55)",5607
1k,after,"after (114733), afterward (38), afterwards (4448)",119219
1k,afternoon,"afternoon (8160), afternoons (495), midafternoon (3)",8658
1k,again,again (57536),57536
1k,against,against (55331),55331
1k,age,"age (22418), aged (5415), ageing (1266), ageism (139), ageist (64), ageists (0), ageless (43), ager (12), agers (15), ages (3600), aging (95), underage (16)",33083
1k,ago,ago (19394),19394
1k,agree,"agree (8057), agreeable (394), agreeably (70), agreed (14390), agreeing (813), agreement (13254), agreements (2704), agrees (938)",40620
1k,ahead,ahead (8888),8888
1k,air,"air (20124), aired (172), airier (7), airiest (0), airily (87), airiness (5), airing (201), airings (2), airless (49), airs (136), airy (275), midair (6)",21064
1k,all,all (282152),282152
1k,allow,"allow (11272), allowable (197), allowance (2146), allowances (1248), allowed (14017), allowing (4228), allows (4114)",37222
1k,almost,almost (30437),30437
1k,alone,alone (13660),13660
1k,along,along (23546),23546
1k,already,already (33338),33338
1k,alright,"alright (8336), alrighty (2)",8338
1k,also,also (123611),123611
1k,although,although (42784),42784
1k,always,"always (44440), allus (27)",44467
1k,among,"among (22448), amongst (4447)",26895
1k,amount,"amount (15313), amounted (943), amounting (393), amounts (2998)",19647
1k,and,"and (2627506), ands (25)",2627531
1k,angry,"angry (4025), angrier (52), angriest (4), angrily (1041), angriness (0)",5122
1k,animal,"animal (6795), animals (8519)",15314
1k,another,another (59190),59190
1k,answer,"answer (14354), answerable (197), answered (3621), answering (1208), answers (3604), unanswerable (77), unanswered (233)",23294
1k,any,"any (122131), anybody (4764), anyhow (461), anymore (278), anyone (14297), anythin (29), anything (27512), anyway (11654), anyways (28), anywhere (3965), owt (152)",185271
1k,apart,apart (9794),9794
1k,apparent,"apparent (5240), apparently (7601)",12841
1k,appear,"appear (10768), appearance (5367), appearances (1138), appeared (10220), appearing (1418), appears (7594), reappear (205), reappearance (112), reappearances (4), reappeared (276), reappearing (40), reappears (69)",37211
1k,area,"area (35024), areas (23285)",58309
1k,arm,"arm (9009), armful (60), armfuls (25), arms (10822)",19916
1k,around,around (43483),43483
